BinCenter;Histo01;Histo02;Histo03;Histo04
67104.5;18;16;16;0
67117.5;12;21;21;0
67130.5;11;24;24;0
67143.5;16;22;22;0
67156.5;14;26;26;0
67169.5;9;18;18;0
67182.5;13;14;14;0
67195.5;19;20;20;0
67208.5;15;20;20;0
67221.5;11;19;19;0
67234.5;14;11;11;0
67247.5;10;14;14;0
67260.5;14;19;19;0
67273.5;19;17;17;0
67286.5;6;21;21;0
67299.5;12;14;14;0
67312.5;22;18;18;0
67325.5;26;20;20;0
67338.5;21;13;13;0
67351.5;14;12;12;0
67364.5;13;11;11;0
67377.5;12;12;12;0
67390.5;20;19;19;0
67403.5;19;17;17;0
67416.5;16;17;17;0
67429.5;14;11;11;0
67442.5;12;18;18;0
67455.5;10;13;13;0
67468.5;12;22;22;0
67481.5;8;14;14;0
67494.5;10;11;11;0
67507.5;8;26;26;0
67520.5;14;17;17;0
67533.5;13;15;15;0
67546.5;17;14;14;0
67559.5;13;13;13;0
67572.5;10;15;15;0
67585.5;13;18;18;0
67598.5;10;17;17;0
67611.5;13;13;13;0
67624.5;18;15;15;0
67637.5;9;18;18;0
67650.5;12;15;15;0
67663.5;16;17;17;0
67676.5;18;9;9;0
67689.5;19;11;11;0
67702.5;12;14;14;0
67715.5;13;12;12;0
67728.5;11;15;15;0
67741.5;18;18;18;0
67754.5;13;11;11;0
67767.5;15;16;16;0
67780.5;15;15;15;0
67793.5;8;15;15;0
67806.5;12;13;13;0
67819.5;12;14;14;0
67832.5;13;16;16;0
67845.5;16;14;14;0
67858.5;9;13;13;0
67871.5;11;18;18;0
67884.5;19;10;10;0
67897.5;10;12;12;0
67910.5;18;24;24;0
67923.5;10;8;8;0
67936.5;13;11;11;0
67949.5;9;14;14;0
67962.5;12;8;8;0
67975.5;18;21;21;0
67988.5;12;17;17;0
68001.5;14;19;19;0
68014.5;17;18;18;0
68027.5;10;13;13;0
68040.5;11;22;22;0
68053.5;15;11;11;0
68066.5;8;9;9;0
68079.5;12;9;9;0
68092.5;6;17;17;0
68105.5;10;9;9;0
68118.5;10;15;15;0
68131.5;10;12;12;0
68144.5;12;15;15;0
68157.5;11;13;13;0
68170.5;11;16;16;0
68183.5;20;11;11;0
68196.5;14;19;19;0
68209.5;17;11;11;0
68222.5;15;11;11;0
68235.5;17;16;16;0
68248.5;13;19;19;0
68261.5;8;18;18;0
68274.5;9;13;13;0
68287.5;13;12;12;0
68300.5;10;11;11;0
68313.5;15;17;17;0
68326.5;14;14;14;0
68339.5;9;10;10;0
68352.5;14;12;12;0
68365.5;12;12;12;0
68378.5;10;8;8;0
68391.5;11;8;8;0
68404.5;13;11;11;0
68417.5;13;15;15;0
68430.5;10;10;10;0
68443.5;12;12;12;0
68456.5;11;11;11;0
68469.5;16;14;14;0
